config,NP,total_um2,storage_dff_um2,lookup_comb_um2
mport,1,33280.7,19300.0,13980.7
mport,2,37378.3,19300.0,18078.3
mport,3,41618.7,19300.0,22318.7
mport,4,46141.8,19300.0,26841.8
mport,5,50597.3,19300.0,31297.3
mport,6,54818.8,19300.0,35518.8
mport,7,58670.0,19300.0,39370.0
mport,8,63033.0,19300.0,43733.0
mport,9,67367.1,19300.0,48067.1
mport,10,71740.1,19300.0,52440.1
muxport,1,33169.3,19300.0,13869.3
muxport,2,33427.1,19300.0,14127.1
muxport,3,33594.7,19300.0,14294.7
muxport,4,33672.3,19300.0,14372.3
muxport,5,33842.5,19300.0,14542.5
muxport,6,34058.9,19300.0,14758.9
muxport,7,34287.9,19300.0,14987.9
muxport,8,34529.4,19300.0,15229.4
muxport,9,34810.9,19300.0,15510.9
muxport,10,34957.3,19300.0,15657.3
