config,NP,die_area_um2,util_pct,routed_wirelength_um,placer_hpwl,route_overflow
mport,1,33281.0,45,34161.9,48098.64,
mport,2,37378.0,45,36335.4,82378.52,
mport,4,46142.0,45,39578.4,140145.5,
mport,6,54819.0,45,44028.9,198435.2,
mport,8,63033.0,45,47886.0,279062.7,
mport,10,71740.0,45,52591.8,342662.5,
muxport,1,33169.0,45,35272.8,48287.36,
muxport,2,33427.0,45,36846.0,49925.8,
muxport,4,33672.0,45,36521.7,61706.32,
muxport,6,34059.0,46,40289.1,70660.93,
muxport,8,34529.0,45,40302.9,85238.4,
muxport,10,34957.0,45,38405.4,91741.9,
