name,mode,wire_rate_met,on_pareto,area_ge,energy_per_translation,fom_area_x_energy,accesses_per_translation,peak_walks,peak_buffer,io_bridge_peak,mem_outstanding_peak,throughput_mps,avg_lat_ns,labels
cfg104,nested,True,True,18970.1,290.105,5503322.9,0.2574,1,1,0,1,24.42,13.7,caches.coalesce_factor=8; caches.iotlb.entries=32; caches.s1_pwc.l1.entries=4; prefetch.algo=next_line; walkers.num_walkers=1; buffers.iommu_req_buffer=16
cfg120,nested,True,False,19376.6,292.906,5675506.4,0.2574,1,1,0,1,24.42,13.7,caches.coalesce_factor=8; caches.iotlb.entries=32; caches.s1_pwc.l1.entries=8; prefetch.algo=next_line; walkers.num_walkers=1; buffers.iommu_req_buffer=16
cfg136,nested,True,False,19800.8,290.619,5754492.0,0.2574,1,1,0,1,24.42,13.7,caches.coalesce_factor=8; caches.iotlb.entries=64; caches.s1_pwc.l1.entries=4; prefetch.algo=next_line; walkers.num_walkers=1; buffers.iommu_req_buffer=16
cfg098,nested,True,False,20042.1,290.424,5820692.5,0.2636,2,13,13,2,24.42,96.3,caches.coalesce_factor=8; caches.iotlb.entries=32; caches.s1_pwc.l1.entries=4; prefetch.algo=False; walkers.num_walkers=2; buffers.iommu_req_buffer=16
cfg106,nested,True,False,20042.1,290.721,5826651.0,0.2641,2,1,0,2,24.42,10.3,caches.coalesce_factor=8; caches.iotlb.entries=32; caches.s1_pwc.l1.entries=4; prefetch.algo=next_line; walkers.num_walkers=2; buffers.iommu_req_buffer=16
cfg152,nested,True,False,20207.3,293.420,5929210.6,0.2574,1,1,0,1,24.42,13.7,caches.coalesce_factor=8; caches.iotlb.entries=64; caches.s1_pwc.l1.entries=8; prefetch.algo=next_line; walkers.num_walkers=1; buffers.iommu_req_buffer=16
cfg114,nested,True,False,20448.6,293.219,5995898.9,0.2636,2,13,13,2,24.42,96.3,caches.coalesce_factor=8; caches.iotlb.entries=32; caches.s1_pwc.l1.entries=8; prefetch.algo=False; walkers.num_walkers=2; buffers.iommu_req_buffer=16
cfg122,nested,True,False,20448.6,293.521,6002086.6,0.2641,2,1,0,2,24.42,10.3,caches.coalesce_factor=8; caches.iotlb.entries=32; caches.s1_pwc.l1.entries=8; prefetch.algo=next_line; walkers.num_walkers=2; buffers.iommu_req_buffer=16
cfg130,nested,True,False,20872.8,290.937,6072676.5,0.2636,2,13,13,2,24.42,96.3,caches.coalesce_factor=8; caches.iotlb.entries=64; caches.s1_pwc.l1.entries=4; prefetch.algo=False; walkers.num_walkers=2; buffers.iommu_req_buffer=16
cfg138,nested,True,False,20872.8,291.235,6078882.0,0.2641,2,1,0,2,24.42,10.3,caches.coalesce_factor=8; caches.iotlb.entries=64; caches.s1_pwc.l1.entries=4; prefetch.algo=next_line; walkers.num_walkers=2; buffers.iommu_req_buffer=16
cfg146,nested,True,False,21279.3,293.732,6250413.7,0.2636,2,13,13,2,24.42,96.3,caches.coalesce_factor=8; caches.iotlb.entries=64; caches.s1_pwc.l1.entries=8; prefetch.algo=False; walkers.num_walkers=2; buffers.iommu_req_buffer=16
