axis,value,label,throughput_Mps,target_Mps,sustained,mem_per_page,peak_walks,peak_buffer,avg_lat_ns,p99_lat_ns
num_walkers,1,walkers=1,0.833,24.414,0,12.0,1,128,2318704.23,4591002.5
num_walkers,2,walkers=2,1.667,24.414,0,12.0,2,128,1118722.98,2214997.5
num_walkers,3,walkers=3,2.499,24.414,0,12.0,3,128,718742.66,1422997.5
num_walkers,4,walkers=4,3.333,24.414,0,12.0,4,128,518762.98,1026997.5
num_walkers,5,walkers=5,4.166,24.414,0,12.0,5,128,398783.23,789397.5
num_walkers,6,walkers=6,4.997,24.414,0,12.0,6,128,318803.56,630997.5
num_walkers,7,walkers=7,5.827,24.414,0,12.0,7,128,261681.22,517205.0
num_walkers,8,walkers=8,6.664,24.414,0,12.0,8,128,218844.23,432997.5
num_walkers,12,walkers=12,9.977,24.414,0,12.0,12,128,118926.35,234997.5
num_walkers,16,walkers=16,13.306,24.414,0,12.0,16,128,69007.83,135725.0
num_walkers,inf,walkers=None,24.243,24.414,0,12.0,30,30,1200.0,1200.0
buffer_size,1,buf=1,0.833,24.414,0,12.0,1,1,2318704.23,4591002.5
buffer_size,2,buf=2,1.667,24.414,0,12.0,2,2,1118722.98,2214997.5
buffer_size,4,buf=4,3.333,24.414,0,12.0,4,4,518762.98,1026997.5
buffer_size,6,buf=6,4.997,24.414,0,12.0,6,6,318803.56,630997.5
buffer_size,8,buf=8,6.664,24.414,0,12.0,8,8,218844.23,432997.5
buffer_size,12,buf=12,6.664,24.414,0,12.0,8,12,218844.23,432997.5
buffer_size,16,buf=16,6.664,24.414,0,12.0,8,16,218844.23,432997.5
buffer_size,32,buf=32,6.664,24.414,0,12.0,8,32,218844.23,432997.5
buffer_size,inf,buf=None,6.664,24.414,0,12.0,8,2912,218844.23,432997.5
coalesce_factor,1,coalesce=1,24.361,24.414,1,4.2,30,30,420.0,800.0
coalesce_factor,2,coalesce=2,24.367,24.414,1,2.1,15,30,399.52,800.0
coalesce_factor,4,coalesce=4,24.379,24.414,1,1.051,8,30,358.96,800.0
coalesce_factor,8,coalesce=8,24.404,24.414,1,0.529,4,30,279.85,800.0
coalesce_factor,16,coalesce=16,24.42,24.414,1,0.268,2,30,161.81,760.0
prefetch_distance,0,pref_dist=0,24.404,24.414,1,0.529,4,30,279.85,800.0
prefetch_distance,4,pref_dist=4,24.42,24.414,1,0.532,5,30,125.66,750.0
prefetch_distance,8,pref_dist=8,24.42,24.414,1,0.532,5,30,35.85,587.5
prefetch_distance,16,pref_dist=16,24.42,24.414,1,0.535,6,30,10.98,340.0
prefetch_distance,32,pref_dist=32,24.42,24.414,1,0.541,8,30,7.05,2.5
prefetch_distance,64,pref_dist=64,24.42,24.414,1,0.553,12,30,7.05,2.5
iova_pattern,sequential,pat=sequential,24.404,24.414,1,0.529,4,30,279.85,800.0
iova_pattern,multi_stream,pat=multi_stream,24.42,24.414,1,0.512,4,30,96.07,400.0
iova_pattern,random,pat=random,24.302,24.414,1,8.013,30,30,801.53,1200.0
