component_um2,cfg1,cfg2,cfg3,cfg4,cfg5
Walker RF,"143,551","19,632","4,322","4,192","4,192"
Transaction buffer,"82,818","11,326","12,675","2,459","2,459"
Misc ctrl FF,"2,814","2,718","2,994","3,958","3,958"
Arbiter+adders+MSHR (comb),"306,198","41,355","20,452","9,937","10,005"
PWC tag,0,"7,656","7,656","7,656","2,252"
PWC data+valid,0,"4,454","4,454","4,454","4,454"
PWC lookup logic,0,"10,640","10,640","10,640","5,912"
IOTLB tag,0,0,"25,220","25,220","10,809"
IOTLB data+valid,0,0,"11,709","11,709","11,709"
IOTLB lookup logic,0,0,"30,813","32,186","18,360"
prefetch_ctrl,0,0,0,"1,810","1,810"
mem_master,328,223,223,223,223
TOTAL,"535,709","98,004","131,157","114,444","76,142"
